generated_at_utc,series_name,set_name,set_tcgdex_id,cards_total,cards_no_pricing_true,percent_no_pricing
2026-03-24T06:36:54.819Z,Sword & Shield,Sword & Shield,swsh1,216,3,1.4
2026-03-24T06:36:54.819Z,Sword & Shield,SWSH Black Star Promos,swshp,304,2,0.7
2026-03-24T06:36:54.819Z,Trainer kits,BW trainer Kit (Excadrill),tk-bw-e,30,30,100
2026-03-24T06:36:54.819Z,Trainer kits,BW trainer Kit (Zoroark),tk-bw-z,30,30,100
2026-03-24T06:36:54.819Z,Trainer kits,DP trainer Kit (Lucario),tk-dp-l,11,11,100
2026-03-24T06:36:54.819Z,Trainer kits,DP trainer Kit (Manaphy),tk-dp-m,12,12,100
2026-03-24T06:36:54.819Z,Trainer kits,EX trainer Kit 2 (Minun),tk-ex-m,12,12,100
2026-03-24T06:36:54.819Z,Trainer kits,XY trainer Kit (Noivern),tk-xy-n,30,5,16.7
2026-03-24T06:36:54.819Z,Trainer kits,XY trainer Kit (Sylveon),tk-xy-sy,30,3,10
2026-03-24T06:36:54.819Z,XY,Evolutions,xy12,113,2,1.8
2026-03-24T06:36:54.819Z,XY,Furious Fists,xy3,114,1,0.9
2026-03-24T06:36:54.819Z,XY,Generations,g1,117,2,1.7
2026-03-24T06:36:54.819Z,XY,Phantom Forces,xy4,124,1,0.8
2026-03-24T06:36:54.819Z,XY,Primal Clash,xy5,164,1,0.6
2026-03-24T06:36:54.819Z,XY,Steam Siege,xy11,116,1,0.9
2026-03-24T06:36:54.819Z,XY,XY Black Star Promos,xyp,216,22,10.2
2026-03-24T06:36:54.819Z,ALL_SETS,,,9547,1342,14.1
